Date,Precipitation
902890.5,0.0
902914.5,0.055000305
902938.5,0.020000458
902962.5,0.0
902986.5,0.0
903010.5,0.0
903034.5,0.0
903058.5,0.0
903082.5,0.0025024414
903106.5,0.0
903130.5,0.0
903154.5,0.010002136
903178.5,0.0
903202.5,0.0
903226.5,0.0
903250.5,0.005001068
903274.5,0.0025024414
903298.5,0.0
903322.5,0.0
903346.5,0.0
903370.5,0.05250168
903394.5,0.0
903418.5,0.0
903442.5,0.0
903466.5,0.0
903490.5,0.16749954
903514.5,0.20249939
903538.5,0.034999847
903562.5,0.0
903586.5,0.0
903610.5,0.0
903634.5,0.0
903658.5,0.0
903682.5,0.0
903706.5,0.005001068
903730.5,0.0
903754.5,0.0
903778.5,0.0
903802.5,0.0
903826.5,0.0
903850.5,0.0025024414
903874.5,0.0
903898.5,0.0
903922.5,0.0
903946.5,0.0
903970.5,0.0025024414
903994.5,0.0
904018.5,0.0
904042.5,0.0225029
904066.5,0.012500763
904090.5,0.0
904114.5,0.0
904138.5,0.0
904162.5,0.0
904186.5,0.0
904210.5,0.040000916
904234.5,0.055000305
904258.5,0.0
904282.5,0.04750061
904306.5,0.0225029
904330.5,0.102500916
904354.5,0.0
904378.5,0.0
904402.5,0.055000305
904426.5,0.012500763
904450.5,0.0
904474.5,0.0
904498.5,0.0
904522.5,0.0
904546.5,0.012500763
904570.5,0.07500076
904594.5,0.10750198
904618.5,0.0
904642.5,0.0
904666.5,0.012500763
904690.5,0.0
904714.5,0.0
904738.5,0.0025024414
904762.5,0.0
904786.5,0.0025024414
904810.5,0.0
904834.5,0.0
904858.5,0.0
904882.5,0.005001068
904906.5,0.012500763
904930.5,0.012500763
904954.5,0.017501831
904978.5,0.04750061
905002.5,0.055000305
905026.5,0.012500763
905050.5,0.0025024414
905074.5,0.0
905098.5,0.0
905122.5,0.007499695
905146.5,0.0
905170.5,0.0
905194.5,0.040000916
905218.5,0.07500076
905242.5,0.0
905266.5,0.0625
905290.5,0.042499542
905314.5,0.05250168
905338.5,0.005001068
905362.5,0.0
905386.5,0.0
905410.5,0.034999847
905434.5,0.012500763
905458.5,0.71500015
905482.5,0.017501831
905506.5,0.41500092
905530.5,0.07500076
905554.5,0.0
905578.5,0.0
905602.5,0.007499695
905626.5,0.0
905650.5,0.0
905674.5,0.09500122
905698.5,0.5950012
905722.5,0.010002136
905746.5,0.0
905770.5,0.0
905794.5,0.0
905818.5,0.0
905842.5,0.0
905866.5,0.0
905890.5,0.005001068
905914.5,0.034999847
905938.5,0.0
905962.5,0.0025024414
905986.5,0.0
906010.5,0.13999939
906034.5,0.007499695
906058.5,0.0
906082.5,0.0
906106.5,0.027500153
906130.5,0.017501831
906154.5,0.10499954
906178.5,0.12250137
906202.5,0.0
906226.5,0.0
906250.5,0.0
906274.5,0.0025024414
906298.5,0.01499939
906322.5,0.0
906346.5,0.0
906370.5,0.09500122
906394.5,0.0
906418.5,0.010002136
906442.5,0.19000244
906466.5,0.0
906490.5,0.0
906514.5,0.0
906538.5,0.0
906562.5,0.0
906586.5,0.0
906610.5,0.0025024414
906634.5,0.049999237
906658.5,0.060001373
906682.5,0.11500168
906706.5,0.0025024414
906730.5,0.01499939
906754.5,0.2100029
906778.5,0.31500244
906802.5,0.012500763
906826.5,0.04750061
906850.5,0.16500092
906874.5,0.017501831
906898.5,0.057502747
906922.5,0.049999237
906946.5,0.03250122
906970.5,0.0025024414
906994.5,0.0
907018.5,0.020000458
907042.5,0.01499939
907066.5,0.24000168
907090.5,0.030002594
907114.5,0.0025024414
907138.5,0.06750107
907162.5,0.6725006
907186.5,0.4375
907210.5,0.10750198
907234.5,0.034999847
907258.5,0.042499542
907282.5,0.060001373
907306.5,0.94250107
907330.5,0.6875
907354.5,0.01499939
907378.5,0.70500183
907402.5,1.9500008
907426.5,0.21250153
907450.5,0.0
907474.5,0.0
907498.5,0.04750061
907522.5,0.23500061
907546.5,0.034999847
907570.5,0.20500183
907594.5,0.125
907618.5,0.39250183
907642.5,0.3675003
907666.5,0.19000244
907690.5,0.042499542
907714.5,0.18250275
907738.5,0.43250275
907762.5,0.06750107
907786.5,0.41749954
907810.5,0.27000046
907834.5,0.3600006
907858.5,1.1625023
907882.5,0.79999924
907906.5,0.0225029
907930.5,0.027500153
907954.5,0.2649994
907978.5,0.20500183
908002.5,0.027500153
908026.5,0.0
908050.5,0.027500153
908074.5,0.10499954
908098.5,0.5774994
908122.5,0.19000244
908146.5,0.020000458
908170.5,0.0025024414
908194.5,0.0
908218.5,0.0
908242.5,0.0
908266.5,0.0
908290.5,0.0
908314.5,0.0
908338.5,0.0
908362.5,0.0
908386.5,0.0
908410.5,0.0
908434.5,0.0
908458.5,0.005001068
908482.5,1.857502
908506.5,0.005001068
908530.5,0.0
908554.5,0.0025024414
908578.5,0.0
908602.5,0.034999847
908626.5,0.1475029
908650.5,0.017501831
908674.5,0.0
908698.5,0.0
908722.5,0.0
908746.5,0.0
908770.5,0.0
908794.5,0.2425003
908818.5,0.03250122
908842.5,0.012500763
908866.5,0.2875023
908890.5,0.0850029
908914.5,0.055000305
908938.5,0.087501526
908962.5,0.0
908986.5,0.060001373
909010.5,0.0
909034.5,0.0
909058.5,0.030002594
909082.5,0.29999924
